Order_ID,Order_Date,SKU,Product_Name,Customer_Region,Warehouse_ID,Quantity_Sold,Unit_Price,Unit_Cost,Order_Status
SO-500542,2025-05-14,SKU-1018,Strapping Band Pp,West Java,WH-SBY,212.0,74.14,50.93,Delivered
SO-500595,2025-09-25,SKU-1023,Bluetooth Speaker Mini,Sulawesi,WH-MDN,248.0,273.05,168.61,Delivered
SO-500262,2025-09-13,SKU-1011,Corrugated Box Large,Sumatra,WH-MKS,292.0,92.93,68.03,Delivered
SO-500291,2025-08-28,SKU-1030,Circuit Board Rev C,East Java,WH-MDN,259.0,348.1,202.29,Delivered
SO-500135,2025-06-01,SKU-1028,Ball Bearing 6205,Bali & Nusa Tenggara,WH-SMG,63.0,145.89,101.55,Delivered
SO-500283,2025-07-27,SKU-1041,Cutting Tool Insert,Sumatra,WH-SMG,42.0,49.63,34.42,Delivered
SO-500057,2025-09-07,SKU-1011,Corrugated Box Large,East Java,WH-SBY,137.0,92.93,68.03,Delivered
SO-500562,2025-10-05,SKU-1029,Hydraulic Pump Seal,Central Java,WH-SMG,256.0,49.09,36.34,Delivered
SO-500483,2025-08-08,SKU-1000,Steel Coil 2Mm,Kalimantan,WH-SBY,72.0,10.82,7.72,Delivered
SO-500327,2025-03-31,SKU-1002,Pvc Resin,Bali & Nusa Tenggara,WH-MDN,95.0,81.83,50.91,Delivered
SO-500372,2025-06-19,SKU-1013,Pallet Wood Standard,Sumatra,WH-JKT,194.0,224.95,135.44,Delivered
SO-500428,2025-04-03,SKU-1032,Motor Bracket Assembly,West Java,WH-MKS,0.0,377.86,216.37,Cancelled
SO-500560,2025-06-12,SKU-1035,Led Driver 12V,Sulawesi,WH-SMG,19.0,24.69,15.71,Delivered
SO-500202,2025-07-08,SKU-1003,Cotton Yarn,West Java,WH-SMG,51.0,254.26,190.06,Delivered
SO-500578,2025-07-31,SKU-1010,Corrugated Box Medium,Sumatra,WH-MDN,184.0,294.1,171.63,Delivered
SO-500623,2025-04-20,SKU-1034,Pressure Valve 1/2In,Kalimantan,WH-SBY,120.0,56.49,39.97,Delivered
SO-500126,2025-10-20,SKU-1023,Bluetooth Speaker Mini,Sulawesi,WH-SMG,156.0,273.05,168.61,Returned
SO-500071,2025-09-03,SKU-1028,Ball Bearing 6205,East Java,WH-MDN,0.0,145.89,101.55,Cancelled
SO-500402,2025-05-24,SKU-1041,Cutting Tool Insert,Sulawesi,WH-MKS,21.0,49.63,34.42,Delivered
SO-500142,2025-01-20,SKU-1002,Pvc Resin,Sumatra,WH-SMG,64.0,81.83,50.91,Delivered
SO-500479,2025-07-23,SKU-1032,Motor Bracket Assembly,Sumatra,WH-SBY,113.0,377.86,216.37,Delivered
SO-500169,2025-10-15,SKU-1033,Gear Set Helical,Kalimantan,WH-SMG,67.0,389.75,231.74,Delivered
