Supplier_ID,Supplier_Name,Country,Payment_Terms,Standard_Lead_Time_Days,On_Time_Delivery_Rate
SUP-01,PT Krakatau Steel Supply,Indonesia,Net 30,45,0.97
SUP-02,Guangzhou Materials Co.,China,Net 30,14,0.9
SUP-03,Nippon Component Industries,Japan,Net 45,21,0.81
SUP-04,PT Indo Packaging Nusantara,Indonesia,Net 60,14,0.97
SUP-05,Siam Polymer Ltd.,Thailand,Net 30,14,0.82
SUP-06,Hanwha Precision Parts,South Korea,Net 45,45,0.8
SUP-07,PT Sinar Logam Jaya,Indonesia,2/10 Net 30,30,0.94
SUP-08,Vietnam Textile Export Co.,Vietnam,Net 45,10,0.99
SUP-09,Alpine Machine Tools GmbH,Germany,Net 45,21,0.79
SUP-10,PT Mitra Bahan Baku,Indonesia,Net 60,21,0.95
